# GENERATED by e2e/scripts/check-coverage.mjs — do not edit; edit scenarios.md and the specs instead.
id	tier	layer_required	status	specs	section
DEL-13	1	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-14	2	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-15	0	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-16	0	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-17	0	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-18	1	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-19	1	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-20	1	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-21	0	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-22	1	wire-or-unit	none		14b — Annuler un rendez-vous
DEL-23	0	wire-or-unit	none		14c — Défaire l'argent
DEL-24	0	wire-or-unit	none		14c — Défaire l'argent
DEL-25	0	wire-or-unit	none		14c — Défaire l'argent
DEL-26	0	wire-or-unit	none		14c — Défaire l'argent
DEL-27	0	wire-or-unit	none		14c — Défaire l'argent
DEL-28	0	wire-or-unit	none		14c — Défaire l'argent
DEL-29	0	wire-or-unit	none		14c — Défaire l'argent
DEL-30	1	wire-or-unit	none		14c — Défaire l'argent
DEL-31	0	wire-or-unit	none		14d — Défaire le clinique
DEL-32	0	wire-or-unit	none		14d — Défaire le clinique
DEL-33	0	wire-or-unit	none		14d — Défaire le clinique
DEL-34	0	wire-or-unit	none		14d — Défaire le clinique
DEL-35	1	wire-or-unit	none		14d — Défaire le clinique
DEL-36	1	wire-or-unit	none		14d — Défaire le clinique
DONE-01	0	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-9 · Clôturer un traitement
DONE-02	1	browser	none		HP-9 · Clôturer un traitement
DONE-03	0	wire-or-unit	none		HP-9 · Clôturer un traitement
DONE-04	0	browser	none		HP-9 · Clôturer un traitement
DONE-05	0	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-9 · Clôturer un traitement
DONE-06	1	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-9 · Clôturer un traitement
DONE-07	1	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-9 · Clôturer un traitement
DONE-08	0	wire-or-unit	none		HP-9 · Clôturer un traitement
DONE-09	1	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-9 · Clôturer un traitement
DONE-10	1	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-9 · Clôturer un traitement
DONE-11	0	wire-or-unit	none		HP-9 · Clôturer un traitement
DONE-12	1	wire-or-unit	none		HP-9 · Clôturer un traitement
EDIT-01	1	wire-or-unit	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-02	0	wire-or-unit	wire	appointment.spec.ts	HP-3 · Le modal de rendez-vous (édition)
EDIT-03	0	browser	wire	fiche-correctness.spec.ts	HP-3 · Le modal de rendez-vous (édition)
EDIT-04	0	browser	wire	appointment.spec.ts	HP-3 · Le modal de rendez-vous (édition)
EDIT-05	0	wire-or-unit	wire	concurrency.spec.ts	HP-3 · Le modal de rendez-vous (édition)
EDIT-06	0	browser	browser	concurrency.spec.ts,document-integrity.spec.ts	HP-3 · Le modal de rendez-vous (édition)
EDIT-07	1	browser	browser	concurrency.spec.ts	HP-3 · Le modal de rendez-vous (édition)
EDIT-08	1	wire-or-unit	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-09	1	browser	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-10	0	browser	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-11	1	wire-or-unit	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-12	1	wire-or-unit	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-13	1	wire-or-unit	none		HP-3 · Le modal de rendez-vous (édition)
EDIT-14	2	wire-or-unit	none		HP-3 · Le modal de rendez-vous (édition)
FEDIT-01	1	wire-or-unit	none		HP-6 · Éditer une fiche
FEDIT-02	0	wire-or-unit	wire	billing-guards.spec.ts	HP-6 · Éditer une fiche
FEDIT-03	0	wire-or-unit	wire	billing-guards.spec.ts	HP-6 · Éditer une fiche
FEDIT-04	0	wire-or-unit	wire	billing-guards.spec.ts	HP-6 · Éditer une fiche
FEDIT-05	0	wire-or-unit	wire	billing-guards.spec.ts	HP-6 · Éditer une fiche
FEDIT-06	1	wire-or-unit	none		HP-6 · Éditer une fiche
FEDIT-07	0	wire-or-unit	wire	billing-guards.spec.ts	HP-6 · Éditer une fiche
FEDIT-08	1	wire-or-unit	none		HP-6 · Éditer une fiche
FEDIT-09	0	wire-or-unit	wire	billing-guards.spec.ts	HP-6 · Éditer une fiche
FEDIT-10	0	wire-or-unit	wire	document-integrity.spec.ts	HP-6 · Éditer une fiche
FEDIT-11	0	browser	wire	money-boundaries.spec.ts	HP-6 · Éditer une fiche
FEDIT-12	1	browser	none		HP-6 · Éditer une fiche
FEDIT-13	1	browser	none		HP-6 · Éditer une fiche
FEDIT-14	0	browser	wire	fiche-correctness.spec.ts	HP-6 · Éditer une fiche
FEDIT-15	1	browser	none		HP-6 · Éditer une fiche
FEDIT-16	0	wire-or-unit	wire	delete-fiche.spec.ts,document-integrity.spec.ts	HP-6 · Éditer une fiche
FEDIT-17	0	wire-or-unit	wire	money-boundaries.spec.ts	HP-6 · Éditer une fiche
FEDIT-18	1	browser	wire	document-integrity.spec.ts	HP-6 · Éditer une fiche
FEDIT-19	2	wire-or-unit	none		HP-6 · Éditer une fiche
FICHE-01	1	wire-or-unit	none		5a — A simple fiche (no devis)
FICHE-02	0	wire-or-unit	none		5a — A simple fiche (no devis)
FICHE-03	1	wire-or-unit	none		5a — A simple fiche (no devis)
FICHE-04	1	wire-or-unit	none		5a — A simple fiche (no devis)
FICHE-05	2	browser	none		5a — A simple fiche (no devis)
FICHE-06	1	browser	none		5a — A simple fiche (no devis)
FICHE-07	1	browser	none		5a — A simple fiche (no devis)
FICHE-08	0	wire-or-unit	wire	fiche-money.spec.ts	5a — A simple fiche (no devis)
FICHE-09	1	wire-or-unit	none		5a — A simple fiche (no devis)
FICHE-10	0	wire-or-unit	wire	fiche-money.spec.ts	5a — A simple fiche (no devis)
FICHE-11	0	wire-or-unit	wire	fiche-money.spec.ts	5a — A simple fiche (no devis)
FICHE-12	0	browser	wire	fiche-money.spec.ts	5a — A simple fiche (no devis)
FICHE-13	0	browser	wire	fiche-money.spec.ts	5a — A simple fiche (no devis)
FICHE-14	1	wire-or-unit	none		5a — A simple fiche (no devis)
FICHE-15	1	browser	none		5a — A simple fiche (no devis)
FICHE-16	1	browser	none		5a — A simple fiche (no devis)
FICHE-17	1	browser	none		5a — A simple fiche (no devis)
FICHE-18	1	browser	none		5a — A simple fiche (no devis)
FICHE-19	1	browser	none		5a — A simple fiche (no devis)
FICHE-20	0	browser	browser	browser-hot-paths.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-21	0	wire-or-unit	wire	fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-22	0	browser	browser	browser-hot-paths.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-23	0	browser	wire	fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-24	0	browser	browser	browser-hot-paths.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-25	0	browser	wire	billing-guards.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-26	0	wire-or-unit	wire	billing-guards.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-27	0	wire-or-unit	wire	billing-guards.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-28	0	browser	none		5b — A fiche of a sub-step (the devis-carried path)
FICHE-29	0	wire-or-unit	none		5b — A fiche of a sub-step (the devis-carried path)
FICHE-30	0	wire-or-unit	wire	fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-31	0	wire-or-unit	wire	fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-32	0	wire-or-unit	wire	fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-33	0	browser	browser	browser-hot-paths.spec.ts,fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-34	1	browser	none		5b — A fiche of a sub-step (the devis-carried path)
FICHE-35	0	wire-or-unit	wire	fiche-correctness.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-36	1	wire-or-unit	wire	fiche-correctness.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-37	0	wire-or-unit	wire	fiche-correctness.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-38	0	wire-or-unit	wire	fiche-correctness.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-39	0	wire-or-unit	wire	fiche-money.spec.ts	5b — A fiche of a sub-step (the devis-carried path)
FICHE-40	0	browser	wire	bridge-charting.spec.ts	5c — Le bridge (le seul acte qui charte deux états)
FICHE-41	0	wire-or-unit	none		5c — Le bridge (le seul acte qui charte deux états)
FICHE-42	0	wire-or-unit	wire	bridge-charting.spec.ts	5c — Le bridge (le seul acte qui charte deux états)
FICHE-43	0	browser	wire	bridge-charting.spec.ts	5c — Le bridge (le seul acte qui charte deux états)
FICHE-44	1	browser	wire	bridge-charting.spec.ts	5c — Le bridge (le seul acte qui charte deux états)
HIST-01	0	wire-or-unit	wire	echeancier-history.spec.ts	HP-12 · L'historique des actes / la fiche patient
HIST-02	0	browser	wire	echeancier-history.spec.ts	HP-12 · L'historique des actes / la fiche patient
HIST-03	1	browser	none		HP-12 · L'historique des actes / la fiche patient
HIST-04	1	browser	none		HP-12 · L'historique des actes / la fiche patient
HIST-05	1	wire-or-unit	none		HP-12 · L'historique des actes / la fiche patient
HIST-06	1	wire-or-unit	none		HP-12 · L'historique des actes / la fiche patient
HIST-07	1	wire-or-unit	none		HP-12 · L'historique des actes / la fiche patient
HIST-08	2	browser	none		HP-12 · L'historique des actes / la fiche patient
INACH-01	0	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-02	0	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-03	1	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-04	1	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-05	1	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-06	0	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-07	0	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-08	1	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-09	1	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
INACH-10	1	wire-or-unit	none		HP-16 · **Inachevé** — the visit that never happened, the quote nobody answered
MONEY-01	0	wire-or-unit	wire	document-integrity.spec.ts	10a — Facture / note d'honoraires
MONEY-02	0	wire-or-unit	wire	billing-guards.spec.ts	10a — Facture / note d'honoraires
MONEY-03	0	wire-or-unit	wire	billing-guards.spec.ts	10a — Facture / note d'honoraires
MONEY-04	0	wire-or-unit	wire	billing-guards.spec.ts	10a — Facture / note d'honoraires
MONEY-05	1	browser	none		10a — Facture / note d'honoraires
MONEY-06	1	wire-or-unit	none		10a — Facture / note d'honoraires
MONEY-07	1	wire-or-unit	none		10a — Facture / note d'honoraires
MONEY-08	0	wire-or-unit	wire	money-boundaries.spec.ts	10a — Facture / note d'honoraires
MONEY-09	1	browser	none		10a — Facture / note d'honoraires
MONEY-10	2	wire-or-unit	none		10a — Facture / note d'honoraires
MONEY-11	0	wire-or-unit	wire	document-integrity.spec.ts	10b — La caisse
MONEY-12	0	wire-or-unit	wire	money-boundaries.spec.ts	10b — La caisse
MONEY-13	0	wire-or-unit	wire	money-boundaries.spec.ts	10b — La caisse
MONEY-14	0	wire-or-unit	wire	money-reads.spec.ts	10b — La caisse
MONEY-15	0	wire-or-unit	wire	money-reads.spec.ts	10b — La caisse
MONEY-16	1	wire-or-unit	none		10b — La caisse
MONEY-17	1	wire-or-unit	none		10b — La caisse
MONEY-18	1	wire-or-unit	none		10b — La caisse
MONEY-19	0	wire-or-unit	none		10b — La caisse
MONEY-20	0	wire-or-unit	wire	money-reads.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-21	0	wire-or-unit	wire	money-reads.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-22	0	wire-or-unit	wire	money-reads.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-23	0	wire-or-unit	wire	money-boundaries.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-24	0	wire-or-unit	wire	plan-lifecycle.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-25	0	wire-or-unit	wire	money-reads.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-26	0	wire-or-unit	wire	money-boundaries.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-27	1	wire-or-unit	none		10c — Créances, solde patient, paiement partiel
MONEY-28	1	wire-or-unit	wire	money-reads.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-29	0	wire-or-unit	wire	document-integrity.spec.ts	10c — Créances, solde patient, paiement partiel
MONEY-30	1	wire-or-unit	none		10c — Créances, solde patient, paiement partiel
ODO-01	0	wire-or-unit	none		HP-11 · L'odontogramme
ODO-02	1	wire-or-unit	none		HP-11 · L'odontogramme
ODO-03	1	browser	none		HP-11 · L'odontogramme
ODO-04	1	browser	none		HP-11 · L'odontogramme
ODO-05	1	browser	none		HP-11 · L'odontogramme
ODO-06	2	browser	none		HP-11 · L'odontogramme
ODO-07	2	browser	none		HP-11 · L'odontogramme
ODO-08	1	wire-or-unit	none		HP-11 · L'odontogramme
PLAN-01	0	browser	browser	browser-hot-paths.spec.ts,smoke-readonly.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-02	1	browser	browser	browser-hot-paths.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-03	0	browser	browser	browser-hot-paths.spec.ts,plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-04	0	wire-or-unit	browser	browser-hot-paths.spec.ts,plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-05	1	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-06	1	wire-or-unit	none		HP-7 · La page traitement (le workspace du devis)
PLAN-07	0	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-08	0	wire-or-unit	wire	echeancier-history.spec.ts,plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-09	0	wire-or-unit	wire	echeancier-history.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-10	0	wire-or-unit	wire	echeancier-history.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-11	1	wire-or-unit	wire	echeancier-history.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-12	1	wire-or-unit	wire	echeancier-history.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-13	0	wire-or-unit	none		HP-7 · La page traitement (le workspace du devis)
PLAN-14	0	wire-or-unit	wire	money-boundaries.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-15	0	wire-or-unit	wire	money-boundaries.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-16	0	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-17	1	wire-or-unit	none		HP-7 · La page traitement (le workspace du devis)
PLAN-18	0	browser	none		HP-7 · La page traitement (le workspace du devis)
PLAN-19	0	browser	none		HP-7 · La page traitement (le workspace du devis)
PLAN-20	1	wire-or-unit	none		HP-7 · La page traitement (le workspace du devis)
PLAN-21	0	wire-or-unit	wire	plan-lifecycle.spec.ts,plan-reads.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-22	0	wire-or-unit	wire	plan-lifecycle.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-23	0	wire-or-unit	wire	echeancier-history.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-24	0	wire-or-unit	wire	plan-reads.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-25	0	wire-or-unit	wire	plan-reads.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-26	0	browser	wire	plan-reads.spec.ts	HP-7 · La page traitement (le workspace du devis)
PLAN-27	1	browser	none		HP-7 · La page traitement (le workspace du devis)
PLAN-28	1	wire-or-unit	none		HP-7 · La page traitement (le workspace du devis)
PLAN-29	2	browser	none		HP-7 · La page traitement (le workspace du devis)
PLAN-30	2	browser	none		HP-7 · La page traitement (le workspace du devis)
REDO-01	0	wire-or-unit	none		HP-17 · **Refaire** — the second time
REDO-02	0	wire-or-unit	none		HP-17 · **Refaire** — the second time
REDO-03	0	wire-or-unit	none		HP-17 · **Refaire** — the second time
REDO-04	0	wire-or-unit	none		HP-17 · **Refaire** — the second time
REDO-05	1	wire-or-unit	none		HP-17 · **Refaire** — the second time
REDO-06	1	wire-or-unit	none		HP-17 · **Refaire** — the second time
REDO-07	1	wire-or-unit	none		HP-17 · **Refaire** — the second time
STEP-01	0	browser	wire	steps.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-02	0	wire-or-unit	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-03	0	wire-or-unit	wire	steps.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-04	1	wire-or-unit	wire	steps.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-05	1	wire-or-unit	wire	steps.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-06	0	wire-or-unit	wire	plan-reads.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-07	0	wire-or-unit	wire	plan-reads.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-08	1	browser	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-09	0	browser	wire	steps.spec.ts	HP-4 · Éditer les sous-étapes — **from all four places**
STEP-10	1	browser	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-11	1	browser	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-12	1	browser	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-13	1	browser	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-14	0	wire-or-unit	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-15	1	wire-or-unit	none		HP-4 · Éditer les sous-étapes — **from all four places**
STEP-16	2	browser	none		HP-4 · Éditer les sous-étapes — **from all four places**
STOP-01	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
STOP-02	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
STOP-03	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
STOP-04	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
STOP-05	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
STOP-06	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
STOP-07	0	wire-or-unit	none		HP-15 · **Arrêter** — `Stopped`, the status the catalogue barely had
